3130, 1, 2.8, 610, 334, 2671, 295, 0, 9, 1, 0, 399, 0, 10
1625, 2, 2.7, 765, 354, 1922, 310, 0, 5, 5, 0, 337, 0, 10
3633, 3, 2.4, 565, 276, 2418, 395, 0, 8, 2, 0, 365, 0, 10
3750, 4, 2.3, 615, 241, 2373, 415, 0, 8, 2, 0, 373, 0, 10
2175, 5, 2.3, 570, 325, 2556, 335, 0, 8, 2, 0, 386, 0, 10
4230, 6, 2.1, 535, 304, 2240, 300, 0, 8, 2, 0, 341, 0, 10
5278, 7, 2.1, 485, 280, 2379, 310, 0, 8, 2, 0, 341, 0, 10
2549, 8, 2.0, 525, 268, 2120, 405, 0, 7, 3, 0, 335, 0, 10
2451, 9, 1.9, 555, 326, 2509, 300, 0, 8, 2, 0, 353, 0, 10
3313, 10, 1.9, 550, 208, 2234, 305, 0, 7, 3, 0, 339, 0, 10
2491, 11, 1.9, 530, 284, 1858, 340, 0, 6, 4, 0, 324, 0, 10
5638, 12, 1.9, 495, 230, 2057, 385, 0, 7, 3, 0, 339, 0, 10
2472, 13, 1.9, 455, 228, 2129, 310, 0, 7, 3, 0, 322, 0, 10
2512, 14, 1.9, 405, 287, 2337, 280, 0, 7, 3, 0, 344, 0, 10
3042, 15, 1.9, 375, 308, 2259, 310, 0, 5, 5, 0, 331, 0, 10
3276, 16, 1.8, 595, 292, 1961, 300, 0, 5, 5, 0, 322, 0, 10
3871, 17, 1.8, 470, 220, 2067, 375, 0, 6, 4, 0, 323, 0, 10
3883, 18, 1.8, 390, 256, 2164, 240, 0, 7, 3, 0, 306, 0, 10
2574, 19, 1.8, 390, 254, 1931, 245, 0, 6, 4, 0, 294, 0, 10
3277, 20, 1.7, 525, 224, 2075, 335, 0, 6, 4, 0, 322, 0, 10
4648, 21, 1.7, 440, 299, 1932, 255, 0, 5, 5, 0, 304, 0, 10
3082, 22, 1.6, 580, 218, 1879, 270, 0, 5, 5, 0, 316, 0, 10
2227, 23, 1.6, 535, 203, 2134, 280, 0, 5, 5, 0, 331, 0, 10
2207, 24, 1.6, 500, 188, 1735, 255, 0, 5, 5, 0, 300, 0, 10
3848, 25, 1.6, 355, 185, 1955, 275, 0, 6, 4, 0, 282, 0, 10
6758, 26, 1.4, 540, 233, 1706, 320, 0, 4, 6, 0, 279, 0, 10
2606, 27, 1.4, 530, 235, 2255, 300, 0, 5, 5, 0, 345, 0, 10
2883, 28, 1.4, 480, 231, 2093, 290, 0, 5, 5, 0, 317, 0, 10
2177, 29, 1.4, 415, 193, 1724, 235, 0, 4, 6, 0, 265, 0, 10
5275, 30, 1.4, 380, 172, 1583, 240, 0, 5, 5, 0, 253, 0, 10
7258, 31, 1.4, 375, 251, 1775, 205, 0, 5, 5, 0, 284, 0, 10
2667, 32, 1.4, 365, 167, 1263, 240, 0, 5, 5, 0, 218, 0, 10
4277, 33, 1.3, 440, 206, 1820, 270, 0, 5, 5, 0, 294, 0, 10
4778, 34, 1.3, 380, 226, 1957, 300, 0, 4, 6, 0, 299, 0, 10
7273, 35, 1.2, 490, 241, 1355, 205, 0, 3, 7, 0, 236, 0, 10
6912, 36, 1.2, 450, 210, 1333, 180, 0, 4, 6, 0, 223, 0, 10
3610, 37, 1.2, 440, 192, 1409, 220, 0, 4, 6, 0, 228, 0, 10
5340, 38, 1.2, 425, 224, 1515, 255, 0, 4, 6, 0, 250, 0, 10
3202, 39, 1.2, 410, 209, 1800, 245, 0, 4, 6, 0, 266, 0, 10
2129, 40, 1.1, 515, 194, 1557, 265, 0, 4, 6, 0, 277, 0, 10
2225, 41, 1.1, 445, 156, 1752, 275, 0, 5, 5, 0, 280, 0, 10
7019, 42, 1.1, 435, 201, 1868, 325, 0, 3, 7, 0, 294, 0, 10
5626, 43, 1.1, 385, 213, 1699, 210, 0, 3, 7, 0, 264, 0, 10
2525, 44, 1.1, 375, 189, 1472, 185, 0, 4, 6, 0, 243, 0, 10
4663, 45, 1.0, 590, 191, 1464, 285, 0, 3, 7, 0, 270, 0, 10
4693, 46, 1.0, 450, 220, 1620, 290, 0, 3, 7, 0, 277, 0, 10
4665, 47, 0.9, 455, 223, 1531, 295, 0, 3, 7, 0, 263, 0, 10
2654, 48, 0.9, 440, 183, 1454, 255, 0, 3, 7, 0, 247, 0, 10
4225, 49, 0.9, 420, 173, 1390, 270, 0, 3, 7, 0, 235, 0, 10
3367, 50, 0.9, 390, 203, 1154, 230, 0, 2, 8, 0, 226, 0, 10
5290, 51, 0.9, 300, 205, 1330, 250, 0, 2, 8, 0, 215, 0, 10
171, 52, 0.8, 430, 189, 1499, 280, 0, 3, 7, 0, 256, 0, 10
6749, 53, 0.7, 380, 186, 1635, 315, 0, 3, 7, 0, 267, 0, 10
2855, 54, 0.4, 390, 178, 1283, 210, 0, 1, 9, 0, 207, 0, 10
